Timestep ; Rotation [w, x, y, z] ; Translation [x, y, z]
0;[0. 0. 0. 1.];[-0. -0. -0.]
1;[ 0.81404353 -0.35962183  0.45606999  0.00233179];[-1.58287286 -1.07043433  1.98127949]
2;[ 0.81404353 -0.35962183  0.45606999  0.00233179];[-1.58287286 -1.07043433  1.98127949]
3;[ 0.81404353 -0.35962183  0.45606999  0.00233179];[-1.58287286 -1.07043433  1.98127949]
4;[ 0.81404353 -0.35962183  0.45606999  0.00233179];[-1.58287286 -1.07043433  1.98127949]
5;[ 0.81404353 -0.35962183  0.45606999  0.00233179];[-1.58287286 -1.07043433  1.98127949]
6;[ 0.81404353 -0.35962183  0.45606999  0.00233179];[-1.58287286 -1.07043433  1.98127949]
7;[ 0.81404353 -0.35962183  0.45606999  0.00233179];[-1.58287286 -1.07043433  1.98127949]
9;[ 0.81404353 -0.35962183  0.45606999  0.00233179];[-1.58287286 -1.07043433  1.98127949]
10;[ 0.81404353 -0.35962183  0.45606999  0.00233179];[-1.58287286 -1.07043433  1.98127949]
11;[ 0.81404353 -0.35962183  0.45606999  0.00233179];[-1.58287286 -1.07043433  1.98127949]
12;[ 0.81404353 -0.35962183  0.45606999  0.00233179];[-1.58287286 -1.07043433  1.98127949]
13;[ 0.81404353 -0.35962183  0.45606999  0.00233179];[-1.58287286 -1.07043433  1.98127949]
